Id,Neighborhood,HouseStyle,Heating,CentralAir,GarageCars,GarageArea,SalePrice
489,OldTown,1.5Fin,GasA,N,2,540,160000
490,MeadowV,SFoyer,GasA,Y,2,540,86000
491,MeadowV,2Story,GasA,Y,2,540,115000
492,NAmes,1.5Fin,GasA,Y,2,539,133000
493,Gilbert,2Story,GasA,Y,2,539,172785
494,NAmes,1Story,GasA,Y,2,539,155000
495,OldTown,1Story,GasA,Y,2,539,91300
496,IDOTRR,1Story,GasA,N,2,539,34900
497,NoRidge,1Story,GasA,Y,2,539,430000
498,BrkSide,1.5Fin,GasA,Y,2,539,184000
499,Sawyer,1Story,GasA,Y,2,539,130000
500,NAmes,1Story,GasA,Y,2,539,120000
501,BrDale,2Story,GasA,Y,2,538,113000
502,Somerst,2Story,GasA,Y,2,538,226700
503,Edwards,1Story,GasA,Y,2,538,140000
504,Crawfor,1Story,GasA,Y,2,534,289000
505,NPkVill,2Story,GasA,Y,2,534,147000
506,OldTown,2Story,GasA,Y,2,533,124500
507,SawyerW,2Story,GasA,Y,2,533,215000
508,Somerst,1Story,GasA,Y,2,532,208300
509,OldTown,2Story,GasA,Y,2,532,161000
510,NAmes,1Story,GasA,Y,2,532,124500
511,NAmes,1Story,GasA,Y,2,532,164900
512,NridgHt,1Story,GasA,Y,2,531,202665
513,NAmes,1Story,GasA,Y,2,531,129900
514,Mitchel,1Story,GasA,Y,2,531,134000
515,Crawfor,1.5Unf,Grav,N,2,530,96500
516,NridgHt,1Story,GasA,Y,2,530,402861
517,NWAmes,SLvl,GasA,Y,2,530,158000
518,NoRidge,2Story,GasA,Y,2,530,265000
519,CollgCr,2Story,GasA,Y,2,530,211000
520,Crawfor,2Story,GasA,Y,2,529,234000
521,OldTown,2Story,GasA,N,2,529,106250
522,NAmes,1Story,GasA,Y,2,529,150000
523,BrkSide,1.5Fin,GasA,Y,2,529,159000
524,Edwards,2Story,GasA,Y,2,529,184750
525,NoRidge,2Story,GasA,Y,2,528,315750
526,Somerst,1Story,GasA,Y,2,528,176000
527,NAmes,1Story,GasA,Y,2,528,132000
528,NridgHt,2Story,GasA,Y,2,528,446261
529,Edwards,1Story,GasA,Y,2,528,86000
530,Crawfor,1Story,GasA,Y,2,528,200624
531,Timber,SLvl,GasA,Y,2,528,175000
532,BrkSide,2Story,GasA,Y,2,528,128000
533,NAmes,1Story,GasA,Y,2,528,107500
534,BrkSide,1Story,GasA,N,2,528,39300
535,Gilbert,2Story,GasA,Y,2,528,178000
536,Edwards,2Story,GasA,Y,2,528,107500
537,CollgCr,2Story,GasA,Y,2,528,188000
538,NAmes,1Story,GasA,Y,2,528,111250
539,Sawyer,1Story,GasA,Y,2,528,158000
540,CollgCr,1Story,GasA,Y,2,528,272000
541,Timber,1Story,GasA,Y,2,528,315000
542,NoRidge,2Story,GasA,Y,2,528,248000
543,NWAmes,1Story,GasA,Y,2,528,213250
544,NAmes,SFoyer,GasA,Y,2,528,133000
545,Gilbert,2Story,GasA,Y,2,528,179665
546,NWAmes,1.5Fin,GasA,Y,2,528,229000
547,BrkSide,1.5Fin,GasA,Y,2,528,210000
548,Mitchel,SFoyer,GasA,Y,2,528,129500
549,OldTown,1Story,GasA,Y,2,528,125000
550,Somerst,2Story,GasA,Y,2,528,263000
551,NPkVill,1Story,GasA,Y,2,528,140000
552,OldTown,1Story,GasA,Y,2,528,112500
553,NridgHt,1Story,GasA,Y,2,528,255500
554,Edwards,1Story,GasA,Y,2,528,108000
555,NridgHt,2Story,GasA,Y,2,528,284000
556,BrkSide,1.5Unf,GasA,Y,2,528,113000
557,NAmes,1Story,GasA,Y,2,528,141000
558,IDOTRR,1.5Fin,GasA,Y,2,527,108000
559,Gilbert,2Story,GasA,Y,2,527,175000
560,Blmngtn,1Story,GasA,Y,2,527,234000
561,Sawyer,1Story,GasA,Y,2,527,121500
562,Mitchel,1Story,GasA,Y,2,527,170000
563,Edwards,1Story,GasA,Y,2,526,108000
564,Edwards,1.5Fin,GasA,Y,2,525,185000
565,NoRidge,2Story,GasA,Y,2,525,268000
566,SWISU,2Story,GasA,N,2,525,128000
567,StoneBr,2Story,GasA,Y,2,525,325000
568,NridgHt,1Story,GasA,Y,2,525,214000
569,SawyerW,1.5Fin,GasA,Y,2,525,316600
570,NAmes,SFoyer,GasA,Y,2,523,135960
571,NAmes,1Story,GasA,Y,2,522,142600
572,NAmes,1Story,GasA,Y,2,522,120000
573,Timber,2Story,GasA,Y,2,521,224500
574,Gilbert,SLvl,GasA,Y,2,521,170000
575,NAmes,SLvl,GasA,Y,2,520,139000
576,NAmes,1.5Fin,GasA,Y,2,520,118500
577,SWISU,1.5Fin,GasA,Y,2,520,145000
578,Sawyer,SLvl,GasA,Y,2,520,164500
579,Somerst,2Story,GasA,Y,2,520,146000
580,OldTown,1.5Fin,GasA,N,2,520,131500
581,NAmes,1Story,GasA,Y,2,520,181900
582,NridgHt,1Story,GasA,Y,2,520,253293
583,Edwards,SFoyer,GasA,Y,2,518,118500
584,OldTown,2.5Unf,GasA,Y,2,516,325000
585,BrkSide,1.5Fin,GasA,Y,2,516,133000
586,Timber,1Story,GasA,Y,2,516,369900
587,BrkSide,1Story,GasA,Y,2,516,130000
588,Sawyer,SFoyer,GasA,Y,2,515,137000
589,ClearCr,1Story,GasA,Y,2,514,143000
590,BrkSide,1Story,GasA,Y,2,514,79500
591,CollgCr,2Story,GasA,Y,2,514,185900
592,NridgHt,2Story,GasA,Y,2,513,451950
593,Mitchel,1Story,GasA,Y,2,513,138000
594,CollgCr,1Story,GasA,Y,2,512,140000
595,CollgCr,1Story,GasA,Y,2,512,110000
596,StoneBr,1Story,GasA,Y,2,511,319000
597,OldTown,2Story,GasA,N,2,511,114504
598,Blmngtn,1Story,GasA,Y,2,510,194201
599,Crawfor,1Story,GasA,Y,2,509,217500
600,Blueste,2Story,GasA,Y,2,508,151000
601,NridgHt,2Story,GasA,Y,2,508,275000
602,IDOTRR,1.5Fin,GasA,Y,2,508,141000
603,SawyerW,2Story,GasA,Y,2,506,220000
604,Somerst,2Story,GasA,Y,2,506,151000
605,CollgCr,1Story,GasA,Y,2,506,221000
606,NAmes,2Story,GasA,Y,2,506,205000
607,CollgCr,1Story,GasA,Y,2,506,152000
608,Edwards,2Story,GasA,Y,2,506,225000
609,Crawfor,2Story,GasA,Y,2,506,359100
610,Sawyer,1Story,GasA,Y,2,505,118500
611,CollgCr,2Story,GasA,Y,2,505,313000
612,NWAmes,SLvl,GasA,Y,2,505,148000
613,CollgCr,2Story,GasA,Y,2,504,261500
614,Mitchel,1Story,GasA,Y,2,504,147000
615,MeadowV,SFoyer,GasA,Y,2,504,75500
616,NAmes,SFoyer,GasA,Y,2,504,137500
617,Gilbert,2Story,GasA,Y,2,504,183200
618,NAmes,1.5Unf,GasA,Y,2,504,105500
619,NridgHt,1Story,GasA,Y,2,504,314813
620,Timber,2Story,GasA,Y,2,504,305000
621,Edwards,1Story,GasA,N,2,504,67000
622,NWAmes,2Story,GasA,Y,2,504,240000
623,Sawyer,1Story,GasA,Y,2,504,135000
624,Somerst,2Story,GasA,Y,2,504,168500
625,NWAmes,2Story,GasA,Y,2,502,165150
626,NAmes,1Story,GasA,Y,2,502,160000
627,NAmes,1Story,GasA,Y,2,502,139900
628,NAmes,SLvl,GasA,Y,2,502,153000
629,NAmes,2Story,GasA,Y,2,501,135000
630,NAmes,SLvl,GasA,Y,2,500,168500
631,OldTown,2Story,GasA,Y,2,500,124000
632,NridgHt,1Story,GasA,Y,2,500,209500
633,NWAmes,1Story,GasA,Y,2,500,82500
634,NAmes,1Story,GasA,Y,2,500,139400
635,OldTown,SFoyer,GasA,Y,2,500,144000
636,SWISU,2.5Fin,GasA,Y,2,499,200000
637,BrkSide,1Story,Grav,N,2,499,60000
638,OldTown,1.5Fin,GasA,Y,2,498,93000
639,Edwards,1Story,GasA,Y,2,498,85000
640,Blmngtn,1Story,GasA,Y,2,497,264561
641,NridgHt,1Story,GasA,Y,2,497,274000
642,Somerst,2Story,GasA,Y,2,496,226000
643,NAmes,SLvl,GasA,Y,2,496,345000
644,NWAmes,2Story,GasA,Y,2,495,152000
645,Somerst,1Story,GasA,Y,2,495,370878
646,NAmes,1Story,GasA,Y,2,495,143250
647,NAmes,1Story,GasA,Y,2,495,98300
648,Edwards,1Story,GasA,Y,2,494,155000
649,NAmes,2Story,GasA,Y,2,493,155000
650,MeadowV,SFoyer,GasA,Y,2,493,84500
651,Somerst,2Story,GasA,Y,2,492,205950
652,Edwards,2Story,GasA,Y,2,492,108000
653,CollgCr,2Story,GasA,Y,2,492,191000
654,IDOTRR,1.5Fin,GasA,Y,2,492,135000
655,NoRidge,1Story,GasA,Y,2,492,350000
656,BrDale,2Story,GasA,Y,2,492,88000
657,NAmes,1Story,GasA,Y,2,490,145500
658,Crawfor,2Story,GasA,Y,2,490,149000
659,NAmes,1.5Fin,GasA,Y,2,490,97500
660,Edwards,1Story,GasA,Y,2,490,167000
661,NWAmes,2Story,GasA,Y,2,490,197900
662,NoRidge,2Story,GasA,Y,2,490,402000
663,NAmes,1Story,GasA,Y,2,487,110000
664,Edwards,SFoyer,GasA,Y,2,487,137500
665,Somerst,1Story,GasA,Y,2,487,423000
666,Gilbert,2Story,GasA,Y,2,486,230500
667,NAmes,2Story,GasA,Y,2,486,129000
668,SawyerW,1Story,GasA,Y,2,486,193500
669,Sawyer,1Story,GasA,Y,2,484,168000
670,Crawfor,1Story,GasA,Y,2,484,137500
671,CollgCr,2Story,GasA,Y,2,484,173500
672,Edwards,2Story,GasA,N,2,484,103600
673,Veenker,1Story,GasA,Y,2,484,165000
674,Crawfor,1Story,GasA,Y,2,484,257500
675,NAmes,1Story,GasA,Y,2,484,140000
676,NPkVill,2Story,GasA,Y,2,484,148500
677,OldTown,2Story,GasW,N,2,484,87000
678,OldTown,1Story,GasA,Y,2,484,109500
679,StoneBr,1Story,GasA,Y,2,484,372500
680,Sawyer,1Story,GasA,Y,2,484,128500
681,SawyerW,1Story,GasA,Y,2,484,143000
682,SWISU,1.5Fin,GasA,Y,2,484,159434
683,ClearCr,1Story,GasA,Y,2,484,173000
684,CollgCr,1Story,GasA,Y,2,484,285000
685,NoRidge,2Story,GasA,Y,2,484,221000
686,StoneBr,2Story,GasA,Y,2,484,207500
687,Somerst,2Story,GasA,Y,2,484,227875
688,Somerst,2Story,GasA,Y,2,484,148800
689,StoneBr,1Story,GasA,Y,2,484,392000
690,NridgHt,1Story,GasA,Y,2,484,194700
691,CollgCr,1Story,GasA,Y,2,484,141000
692,NoRidge,2Story,GasA,Y,2,484,755000
693,Timber,2Story,GasA,Y,2,484,335000
694,OldTown,1Story,GasA,Y,2,484,108480
695,BrkSide,1.5Fin,GasA,Y,2,484,141500
696,Timber,1Story,GasA,Y,2,484,176000
697,BrkSide,1Story,GasA,Y,2,484,89000
698,Edwards,1Story,GasA,Y,2,484,123500
699,Sawyer,1Story,GasA,Y,2,484,138500
700,Somerst,1Story,GasA,Y,2,484,196000
701,Timber,1Story,GasA,Y,2,484,312500
702,NWAmes,1Story,GasA,Y,2,484,140000
703,StoneBr,2Story,GasA,Y,2,483,361919
704,OldTown,2Story,GasA,Y,2,483,140000
705,CollgCr,1Story,GasA,Y,2,482,213000
706,IDOTRR,2Story,GasA,N,2,482,55000
707,ClearCr,1Story,GasA,Y,2,481,302000
708,NridgHt,1Story,GasA,Y,2,480,254000
709,Gilbert,2Story,GasA,Y,2,480,179540
710,Sawyer,1Story,GasA,Y,2,480,109900
711,BrkSide,1Story,GasA,Y,2,480,52000
712,IDOTRR,1.5Fin,GasA,Y,2,480,102776
713,StoneBr,1Story,GasA,Y,2,480,189000
714,BrkSide,1Story,GasW,N,2,480,129000
715,Sawyer,2Story,GasA,Y,2,480,130500
716,NWAmes,1Story,GasA,Y,2,480,165000
717,OldTown,2Story,GasA,Y,2,480,159500
718,NWAmes,1Story,GasA,Y,2,480,157000
719,NoRidge,2Story,GasA,Y,2,480,341000
720,CollgCr,1Story,GasA,Y,2,480,128500
721,StoneBr,1Story,GasA,Y,2,480,275000
722,CollgCr,1Story,GasA,Y,2,480,143000
723,NAmes,1Story,GasA,Y,2,480,124500
724,Edwards,1.5Fin,GasA,Y,2,480,135000
725,Edwards,1Story,GasA,Y,2,480,320000
726,NAmes,1Story,GasA,Y,2,480,120500
727,Crawfor,1Story,GasA,Y,2,480,222000
728,CollgCr,1Story,GasA,Y,2,480,194500
729,NAmes,1Story,GasA,Y,2,480,110000
730,IDOTRR,1.5Fin,GasA,Y,2,480,103000
731,StoneBr,1Story,GasA,Y,2,480,236500
732,Timber,SLvl,GasA,Y,2,479,187500
733,CollgCr,2Story,GasA,Y,2,478,222500
734,Sawyer,1Story,GasA,Y,2,478,131400
735,Sawyer,1Story,GasA,Y,2,478,108000
736,OldTown,2.5Unf,GasW,N,2,478,163000
737,NAmes,1Story,GasA,N,2,478,93500
738,Gilbert,2Story,GasA,Y,2,478,239900
739,Edwards,1Story,GasA,Y,2,477,179000
740,CollgCr,2Story,GasA,Y,2,476,190000
741,OldTown,2Story,GasA,Y,2,476,132000
742,Sawyer,1Story,GasA,Y,2,475,142000
743,SawyerW,1Story,GasA,Y,2,474,179000
744,Sawyer,SLvl,GasA,Y,2,474,175000
745,StoneBr,1Story,GasA,Y,2,474,180000
746,NWAmes,2Story,GasA,Y,2,474,299800
747,Gilbert,2Story,GasA,Y,2,474,236000
748,OldTown,2Story,GasW,N,2,474,265979
749,NoRidge,1Story,GasA,Y,2,474,260400
750,Edwards,1.5Fin,Wall,N,2,473,98000
751,OldTown,1.5Fin,GasA,Y,2,473,96500
752,Gilbert,2Story,GasA,Y,2,472,162000
753,CollgCr,1Story,GasA,Y,2,472,217000
754,NridgHt,2Story,GasA,Y,2,472,275500
755,NAmes,1Story,GasA,Y,2,472,156000
756,Somerst,2Story,GasA,Y,2,472,172500
757,CollgCr,2Story,GasA,Y,2,472,212000
758,Sawyer,2Story,GasA,Y,2,471,158900
759,Somerst,2Story,GasA,Y,2,471,179400
760,NoRidge,2Story,GasA,Y,2,471,290000
761,NAmes,1Story,GasA,Y,2,470,127500
762,BrkSide,1Story,GasA,Y,2,470,100000
763,Somerst,2Story,GasA,Y,2,470,215200
764,NoRidge,2Story,GasA,Y,2,470,337000
765,Veenker,1Story,GasA,Y,2,468,270000
766,Somerst,1Story,GasA,Y,2,468,264132
767,NWAmes,2Story,GasA,Y,2,467,196500
768,Mitchel,1.5Fin,GasA,Y,2,467,160000
769,CollgCr,1Story,GasA,Y,2,466,216837
770,StoneBr,2Story,GasA,Y,2,466,538000
771,Sawyer,SFoyer,GasA,Y,2,463,134900
772,Edwards,1Story,GasA,Y,2,463,102000
773,Edwards,SLvl,GasA,Y,2,463,107000
774,NAmes,1Story,GasA,Y,2,463,114500
775,NridgHt,1Story,GasA,Y,2,462,395000
776,Mitchel,1Story,GasA,Y,2,462,162000
777,CollgCr,1Story,GasA,Y,2,462,221500
778,Sawyer,1Story,GasA,Y,2,462,142500
779,SawyerW,1Story,GasA,Y,2,462,144000
780,Mitchel,SFoyer,GasA,Y,2,462,135000
781,Gilbert,1Story,GasA,Y,2,462,176000
782,SawyerW,2Story,GasA,Y,2,462,175900
783,CollgCr,1Story,GasA,Y,2,462,187100
784,Mitchel,SFoyer,GasA,Y,2,462,165500
785,OldTown,2.5Unf,GasA,Y,2,461,128000
786,NWAmes,1Story,GasA,Y,2,461,161500
787,OldTown,1.5Fin,GasA,Y,2,461,139000
788,SawyerW,2Story,GasA,Y,2,461,233000
789,OldTown,1Story,GasA,Y,2,461,107900
790,ClearCr,2Story,GasA,Y,2,461,187500
791,Blmngtn,1Story,GasA,Y,2,460,160200
792,Mitchel,SLvl,GasA,Y,2,460,146800
793,NoRidge,2Story,GasA,Y,2,460,269790
794,Somerst,1Story,GasA,Y,2,460,225000
795,Gilbert,2Story,GasA,Y,2,460,194500
796,SawyerW,2Story,GasA,Y,2,460,171000
797,Sawyer,1Story,GasA,Y,2,460,143500
798,NAmes,1Story,GasA,Y,2,459,110000
799,NridgHt,2Story,GasA,Y,2,458,485000
800,SWISU,1.5Fin,GasA,Y,2,457,175000
801,ClearCr,2Story,GasA,Y,2,457,200000
802,IDOTRR,1Story,GasA,Y,2,457,109900
803,CollgCr,2Story,GasA,Y,2,456,189000
804,NridgHt,2Story,GasA,Y,2,456,582933
805,NAmes,1Story,GasA,Y,2,455,118000
806,Somerst,1Story,GasA,Y,2,454,227680
807,NAmes,SLvl,GasA,Y,2,454,135500
808,BrkSide,2Story,GasA,Y,2,453,223500
809,NAmes,SLvl,GasA,Y,2,453,159950
810,OldTown,2.5Unf,GasA,N,2,452,106000
811,NWAmes,1Story,GasA,Y,2,452,181000
812,CollgCr,1Story,GasA,Y,2,452,144500
813,IDOTRR,1Story,GasA,N,2,451,55993
814,NAmes,1Story,GasA,Y,2,451,157900
815,Edwards,1.5Fin,GasW,Y,2,451,116000
816,CollgCr,1Story,GasA,Y,2,451,224900
817,NAmes,1Story,GasA,Y,2,451,137000
818,Mitchel,1Story,GasA,Y,2,450,271000
819,ClearCr,SLvl,GasA,Y,2,450,155000
820,NridgHt,1Story,GasA,Y,2,450,224000
821,CollgCr,2Story,GasA,Y,2,450,183000
822,OldTown,1Story,GasA,N,2,450,93000
823,Gilbert,2Story,GasA,Y,2,447,225000
824,SWISU,1.5Fin,GasA,Y,2,447,139500
825,Somerst,1Story,GasA,Y,2,445,232600
826,NridgHt,1Story,GasA,Y,2,444,385000
827,BrkSide,1.5Unf,GasA,Y,2,442,109500
828,SawyerW,1Story,GasA,Y,2,442,189000
829,ClearCr,2Story,GasA,Y,2,442,185000
830,Somerst,2Story,GasA,Y,2,442,147400
831,NAmes,1Story,GasA,Y,2,441,166000
832,Somerst,2Story,GasA,Y,2,441,151000
833,CollgCr,2Story,GasA,Y,2,440,237000
834,NAmes,1Story,GasA,Y,2,440,167000
835,NAmes,1Story,GasA,Y,2,440,139950
836,Sawyer,1Story,GasA,Y,2,440,128000
837,OldTown,1Story,GasA,Y,2,440,153500
838,BrDale,2Story,GasA,Y,2,440,100000
839,CollgCr,1Story,GasA,Y,2,440,144000
840,Edwards,1.5Fin,GasA,Y,2,440,130500
841,SWISU,2Story,GasA,N,2,440,140000
842,OldTown,2Story,GasA,Y,2,440,157500
843,NAmes,SLvl,GasA,Y,2,440,174900
844,NAmes,1Story,GasA,N,2,440,141000
845,OldTown,1.5Fin,GasA,Y,2,440,153900
846,Sawyer,SFoyer,GasA,Y,2,440,171000
847,SawyerW,2Story,GasA,Y,2,440,213000
848,CollgCr,1Story,GasA,Y,2,440,133500
849,ClearCr,1.5Fin,GasA,Y,2,440,240000
850,Veenker,SLvl,GasA,Y,2,440,187000
851,CollgCr,1Story,GasA,Y,2,440,131500
852,Blmngtn,1Story,GasA,Y,2,440,215000
853,Crawfor,2.5Unf,GasA,Y,2,440,164000
854,NAmes,SLvl,GasA,Y,2,440,158000
855,Sawyer,1Story,GasA,Y,2,440,170000
856,Sawyer,1Story,GasA,Y,2,440,127000
857,CollgCr,SLvl,GasA,Y,2,440,147000
858,Gilbert,2Story,GasA,Y,2,440,174000
859,NWAmes,1Story,GasA,Y,2,440,152000
860,NWAmes,2Story,GasA,Y,2,440,250000
861,Crawfor,1.5Fin,GasA,Y,2,440,189950
862,Sawyer,1Story,GasA,Y,2,440,131500
863,SawyerW,1Story,GasA,Y,2,440,152000
864,NAmes,1Story,GasA,Y,2,440,132500
865,Somerst,1Story,GasA,Y,2,440,250580
866,NAmes,1Story,GasA,Y,2,440,148500
867,Timber,1Story,GasA,Y,2,440,248900
868,Sawyer,1Story,GasA,Y,2,440,129000
869,Gilbert,2Story,GasA,Y,2,440,169000
870,SawyerW,2Story,GasA,Y,2,440,236000
871,NAmes,1Story,GasA,N,2,440,109500
872,CollgCr,2Story,GasA,Y,2,440,200500
873,NAmes,1Story,GasA,Y,2,440,116000
874,NAmes,1Story,GasA,Y,2,440,133000
875,OldTown,1.5Fin,GasA,Y,2,440,66500
876,Somerst,2Story,GasA,Y,2,440,303477
877,Mitchel,1Story,GasA,Y,2,440,132250
878,NridgHt,2Story,GasA,Y,2,440,350000
879,Sawyer,SFoyer,GasA,Y,2,440,148000
880,CollgCr,1Story,GasA,Y,2,440,136500
881,Edwards,1Story,GasA,Y,2,440,157000
882,Timber,1.5Fin,GasA,Y,2,439,187500
883,Gilbert,2Story,GasA,Y,2,439,178000
884,SWISU,2.5Fin,GasA,N,2,438,118500
885,NAmes,1Story,GasA,Y,2,438,100000
886,Somerst,1Story,GasA,Y,2,438,328900
887,NAmes,1Story,GasA,Y,2,437,145000
888,Edwards,1.5Fin,GasA,Y,2,436,135500
889,NAmes,1Story,GasA,Y,2,436,268000
890,NAmes,1Story,GasA,Y,2,435,149500
891,NAmes,1.5Fin,GasA,Y,2,434,122900
892,Sawyer,2Story,GasA,Y,2,434,172500
893,Sawyer,1Story,GasA,Y,2,434,154500
894,Sawyer,1Story,GasA,Y,2,434,165000
895,SawyerW,1Story,GasA,Y,2,434,118858
896,NAmes,2Story,GasA,Y,2,433,140000
897,IDOTRR,1Story,GasA,N,2,433,106500
898,SawyerW,2Story,GasA,Y,2,432,142953
899,NridgHt,1Story,GasA,Y,2,432,611657
900,Sawyer,1Story,GasA,Y,2,432,135000
901,NAmes,1Story,GasA,Y,2,432,110000
902,NAmes,1Story,GasA,Y,2,432,153000
903,Gilbert,2Story,GasA,Y,2,432,180000
904,Gilbert,1Story,GasA,Y,2,432,240000
905,Sawyer,1Story,GasA,Y,2,432,125500
906,NAmes,1Story,GasA,Y,2,431,128000
907,Somerst,1Story,GasA,Y,2,431,255000
908,Crawfor,1.5Fin,GasA,Y,2,431,250000
909,Mitchel,1Story,GasA,Y,2,431,131000
910,Gilbert,2Story,GasA,Y,2,431,174000
911,NAmes,2Story,GasA,Y,2,430,154300
912,CollgCr,1Story,GasA,Y,2,430,143500
913,BrkSide,1Story,GasA,N,2,430,88000
914,Crawfor,2Story,GasA,N,2,430,145000
915,Somerst,2Story,GasA,Y,2,429,173733
916,MeadowV,2Story,GasA,Y,2,429,75000
917,IDOTRR,1Story,GasA,N,2,429,35311
918,Edwards,1Story,GasA,Y,2,427,135000
919,SawyerW,2Story,GasA,Y,2,426,238000
920,NAmes,1Story,GasA,Y,2,425,176500
921,SawyerW,2Story,GasA,Y,2,424,201000
922,Edwards,1.5Fin,GasA,Y,2,423,145900
923,Gilbert,1Story,GasA,Y,2,422,169990
924,SawyerW,1Story,GasA,Y,2,422,193000
925,NWAmes,1Story,GasA,Y,2,420,207500
926,NWAmes,1Story,GasA,Y,2,420,175000
927,NridgHt,2Story,GasA,Y,2,420,285000
928,NWAmes,2Story,GasA,Y,2,420,176000
929,CollgCr,1Story,GasA,Y,2,420,236500
930,Gilbert,2Story,GasA,Y,2,420,222000
931,Timber,1Story,GasA,Y,2,420,201000
932,NAmes,1Story,GasA,Y,2,420,117500
933,Somerst,1Story,GasA,Y,2,420,320000
934,CollgCr,1Story,GasA,Y,2,420,190000
935,NAmes,1Story,GasA,Y,2,420,242000
936,BrkSide,1Story,GasA,Y,2,420,79900
937,SawyerW,1Story,GasA,Y,2,420,184900
938,Somerst,2Story,GasA,Y,2,420,253000
939,CollgCr,2Story,GasA,Y,2,420,239799
940,ClearCr,2Story,GasA,Y,2,420,244400
941,Mitchel,1Story,GasA,Y,2,420,150900
942,Gilbert,2Story,GasA,Y,2,420,214000
943,Edwards,1Story,GasA,Y,2,420,150000
944,Mitchel,1Story,GasA,Y,2,418,143000
945,Timber,SLvl,GasA,Y,2,418,137500
946,OldTown,1.5Fin,GasA,Y,2,416,124900
947,NAmes,SLvl,GasA,Y,2,416,143000
948,Timber,1Story,GasA,Y,2,414,270000
949,CollgCr,2Story,GasA,Y,2,413,192500
950,NWAmes,1Story,GasA,Y,2,412,197500
951,NAmes,1Story,GasA,Y,2,410,129000
952,SawyerW,1Story,GasA,Y,2,410,119900
953,CollgCr,SFoyer,GasA,Y,2,410,133900
954,Mitchel,2Story,GasA,Y,2,409,172000
955,Edwards,SFoyer,GasA,Y,2,409,127500
956,Crawfor,2Story,GasA,N,2,408,145000
957,Blueste,2Story,GasA,Y,2,406,124000
958,Sawyer,1Story,GasA,Y,2,405,132000
959,CollgCr,1Story,GasA,Y,2,404,185000
960,Somerst,2Story,GasA,Y,2,403,155000
961,BrkSide,1Story,GasA,Y,2,403,116500
962,NWAmes,2Story,GasA,Y,2,402,272000
963,NPkVill,2Story,GasA,Y,2,402,155000
964,CollgCr,1Story,GasA,Y,2,402,239000
965,Timber,2Story,GasA,Y,2,402,214900
966,Gilbert,2Story,GasA,Y,2,400,178900
967,Crawfor,1.5Fin,GasA,Y,2,400,160000
968,NAmes,1Story,GasA,Y,2,400,135000
969,OldTown,1.5Fin,Grav,N,2,400,37900
970,NAmes,SLvl,GasA,Y,2,400,140000
971,NAmes,1.5Fin,GasA,N,2,400,135000
972,NridgHt,2Story,GasA,Y,2,400,173000
973,SawyerW,1Story,GasA,Y,2,400,99500
974,Somerst,1Story,GasA,Y,2,400,182000
975,BrkSide,2Story,GasA,N,2,400,167500
976,Somerst,2Story,GasA,Y,2,400,165000
977,BrkSide,1Story,GasA,Y,2,400,85500
